familia;indice_fam;subposicion_1;subposicion_2;subposicion_3;subposicion_4;energia
172;1;2;1;2;5;5.418440299999999
172;2;1;2;5;2;5.418440299999999
172;3;5;2;1;2;5.4184403
172;4;2;5;2;1;5.4184403
173;1;2;1;3;4;5.137629
173;2;1;2;4;3;5.137629
173;3;4;3;1;2;5.1376290000000004
173;4;3;4;2;1;5.1376290000000004
174;1;2;1;3;5;6.504332799999999
174;2;1;2;5;3;6.504332799999999
174;3;5;3;1;2;6.5043328
174;4;3;5;2;1;6.5043328
175;1;2;1;4;5;7.998242199999999
175;2;1;2;5;4;7.998242199999999
175;3;5;4;1;2;7.9982422
175;4;4;5;2;1;7.9982422
176;1;2;2;0;3;1.267706
176;2;2;2;3;0;1.267706
176;3;3;0;2;2;1.267706
176;4;0;3;2;2;1.267706
177;1;2;2;0;4;2.7616153999999997
177;2;2;2;4;0;2.7616153999999997
177;3;4;0;2;2;2.7616154
177;4;0;4;2;2;2.7616154
178;1;2;2;0;5;4.1283192
178;2;2;2;5;0;4.1283192
178;3;5;0;2;2;4.1283192
178;4;0;5;2;2;4.1283192
179;1;2;2;1;3;2.5578271
179;2;2;2;3;1;2.5578271
179;3;3;1;2;2;2.5578271000000004
179;4;1;3;2;2;2.5578271000000004
180;1;2;2;1;4;4.0517365
180;2;2;2;4;1;4.0517365
180;3;4;1;2;2;4.0517365
180;4;1;4;2;2;4.0517365
181;1;2;2;1;5;5.418440299999999
181;2;2;2;5;1;5.4184403
181;3;5;1;2;2;5.4184403
181;4;1;5;2;2;5.4184403
182;1;2;2;2;3;1.3283105000000002
182;2;2;2;3;2;1.3283105
182;3;3;2;2;2;1.3283105
182;4;2;3;2;2;1.3283105
183;1;2;2;2;4;2.8222199
183;2;2;2;4;2;2.8222199
183;3;4;2;2;2;2.8222199000000003
183;4;2;4;2;2;2.8222199000000003
184;1;2;2;2;5;4.188923699999999
184;2;2;2;5;2;4.1889237
184;3;5;2;2;2;4.1889237
184;4;2;5;2;2;4.1889237
185;1;2;2;3;4;3.9081124
185;2;2;2;4;3;3.9081124
185;3;4;3;2;2;3.9081124000000003
