familia;indice_fam;subposicion_1;subposicion_2;subposicion_3;subposicion_4;energia
145;3;5;4;4;1;7.6212027
145;4;4;5;1;4;7.6212027
146;1;1;4;5;5;-1.1444451
146;2;4;1;5;5;-1.1444451
146;3;5;5;4;1;-1.1444451
146;4;5;5;1;4;-1.1444451
147;1;1;5;2;5;13.7386814
147;2;5;1;5;2;13.7386814
147;3;5;2;5;1;13.7386814
147;4;2;5;1;5;13.7386814
148;1;1;5;3;5;10.4716779
148;2;5;1;5;3;10.4716779
148;3;5;3;5;1;10.4716779
148;4;3;5;1;5;10.4716779
149;1;1;5;4;5;11.2850434
149;2;5;1;5;4;11.2850434
149;3;5;4;5;1;11.2850434
149;4;4;5;1;5;11.2850434
150;1;1;5;5;5;22.1787885
150;2;5;1;5;5;22.1787885
150;3;5;5;5;1;22.1787885
150;4;5;5;1;5;22.1787885
151;1;2;0;0;3;1.6131933
151;2;0;2;3;0;1.6131933
151;3;3;0;0;2;1.6131933
151;4;0;3;2;0;1.6131933
152;1;2;0;0;4;1.4218842
152;2;0;2;4;0;1.4218842
152;3;4;0;0;2;1.4218842
152;4;0;4;2;0;1.4218842
153;1;2;0;0;5;-2.2818548
153;2;0;2;5;0;-2.2818548
153;3;5;0;0;2;-2.2818548
153;4;0;5;2;0;-2.2818548
154;1;2;0;1;2;1.6843762
154;2;0;2;2;1;1.6843762
154;3;2;1;0;2;1.6843762
154;4;1;2;2;0;1.6843762
155;1;2;0;1;3;3.0575715
155;2;0;2;3;1;3.0575715
155;3;3;1;0;2;3.0575715
155;4;1;3;2;0;3.0575715
156;1;2;0;1;4;3.5095096
156;2;0;2;4;1;3.5095096
156;3;4;1;0;2;3.5095096
156;4;1;4;2;0;3.5095096
157;1;2;0;1;5;4.7360411
157;2;0;2;5;1;4.7360411
157;3;5;1;0;2;4.7360411
157;4;1;5;2;0;4.7360411
158;1;2;0;2;3;1.7028756
158;2;0;2;3;2;1.7028756
158;3;3;2;0;2;1.7028756
158;4;2;3;2;0;1.7028756
159;1;2;0;2;4;2.6036725
159;2;0;2;4;2;2.6036725
159;3;4;2;0;2;2.6036725
159;4;2;4;2;0;2.6036725
160;1;2;0;2;5;3.1953134
160;2;0;2;5;2;3.1953134
160;3;5;2;0;2;3.1953134
160;4;2;5;2;0;3.1953134
161;1;2;0;3;4;2.7135735
161;2;0;2;4;3;2.7135735
161;3;4;3;0;2;2.7135735
161;4;3;4;2;0;2.7135735
162;1;2;0;3;5;1.4634856
162;2;0;2;5;3;1.4634856
162;3;5;3;0;2;1.4634856
162;4;3;5;2;0;1.4634856
163;1;2;0;4;5;3.9918431
163;2;0;2;5;4;3.9918431
163;3;5;4;0;2;3.9918431
163;4;4;5;2;0;3.9918431
164;1;2;1;0;3;4.7777153
164;2;1;2;3;0;4.7777153
164;3;3;0;1;2;4.7777153
164;4;0;3;2;1;4.7777153
165;1;2;1;0;4;4.9004537
165;2;1;2;4;0;4.9004537
165;3;4;0;1;2;4.9004537
165;4;0;4;2;1;4.9004537
166;1;2;1;0;5;0.7520054
166;2;1;2;5;0;0.7520054
166;3;5;0;1;2;0.7520054
166;4;0;5;2;1;0.7520054
167;1;2;1;1;3;5.6914181
167;2;1;2;3;1;5.6914181
167;3;3;1;1;2;5.6914181
167;4;1;3;2;1;5.6914181
168;1;2;1;1;4;6.2184158
168;2;1;2;4;1;6.2184158
168;3;4;1;1;2;6.2184158
168;4;1;4;2;1;6.2184158
169;1;2;1;1;5;7.0909401
169;2;1;2;5;1;7.0909401
169;3;5;1;1;2;7.0909401
169;4;1;5;2;1;7.0909401
170;1;2;1;2;3;4.1395459
170;2;1;2;3;2;4.1395459
170;3;3;2;1;2;4.1395459
170;4;2;3;2;1;4.1395459
171;1;2;1;2;4;5.2076306
171;2;1;2;4;2;5.2076306
171;3;4;2;1;2;5.2076306
171;4;2;4;2;1;5.2076306
172;1;2;1;2;5;5.4446813
172;2;1;2;5;2;5.4446813
172;3;5;2;1;2;5.4446813
172;4;2;5;2;1;5.4446813
173;1;2;1;3;4;7.0851288
173;2;1;2;4;3;7.0851288
173;3;4;3;1;2;7.0851288
173;4;3;4;2;1;7.0851288
174;1;2;1;3;5;5.5970508
174;2;1;2;5;3;5.5970508
174;3;5;3;1;2;5.5970508
